0
tensor(398.6090, dtype=torch.float64)
tensor(397.4199, dtype=torch.float64)
tensor(404.2293, dtype=torch.float64)
tensor(400.0517, dtype=torch.float64)
tensor(401.6429, dtype=torch.float64)
tensor(398.6415, dtype=torch.float64)
tensor(396.9381, dtype=torch.float64)
tensor(396.6933, dtype=torch.float64)
tensor(397.4795, dtype=torch.float64)
tensor(398.1543, dtype=torch.float64)
tensor(396.7126, dtype=torch.float64)
tensor(398.3730, dtype=torch.float64)
tensor(396.8433, dtype=torch.float64)
tensor(400.4957, dtype=torch.float64)
tensor(396.5625, dtype=torch.float64)
tensor(394.1179, dtype=torch.float64)
tensor(398.5116, dtype=torch.float64)
tensor(395.7786, dtype=torch.float64)
tensor(397.2673, dtype=torch.float64)
tensor(399.0740, dtype=torch.float64)
tensor(394.4283, dtype=torch.float64)
tensor(401.1483, dtype=torch.float64)
tensor(392.8118, dtype=torch.float64)
tensor(400.8438, dtype=torch.float64)
tensor(394.9050, dtype=torch.float64)
tensor(396.2001, dtype=torch.float64)
tensor(392.0201, dtype=torch.float64)
tensor(396.4983, dtype=torch.float64)
tensor(401.6136, dtype=torch.float64)
tensor(397.0303, dtype=torch.float64)
tensor(395.4919, dtype=torch.float64)
tensor(394.1115, dtype=torch.float64)
tensor(395.9462, dtype=torch.float64)
tensor(393.0450, dtype=torch.float64)
tensor(398.2668, dtype=torch.float64)
tensor(393.6724, dtype=torch.float64)
tensor(397.9211, dtype=torch.float64)
tensor(393.3698, dtype=torch.float64)
tensor(401.0924, dtype=torch.float64)
tensor(395.6934, dtype=torch.float64)
tensor(397.9890, dtype=torch.float64)
tensor(397.3595, dtype=torch.float64)
tensor(393.0366, dtype=torch.float64)
tensor(393.1343, dtype=torch.float64)
tensor(394.7519, dtype=torch.float64)
tensor(392.7573, dtype=torch.float64)
tensor(392.2861, dtype=torch.float64)
tensor(393.3593, dtype=torch.float64)
tensor(394.5366, dtype=torch.float64)
tensor(393.6848, dtype=torch.float64)
tensor(395.3538, dtype=torch.float64)
tensor(394.3392, dtype=torch.float64)
tensor(390.7783, dtype=torch.float64)
tensor(391.5226, dtype=torch.float64)
tensor(395.0751, dtype=torch.float64)
tensor(394.1714, dtype=torch.float64)
tensor(395.5578, dtype=torch.float64)
tensor(394.8440, dtype=torch.float64)
tensor(396.7281, dtype=torch.float64)
tensor(395.7028, dtype=torch.float64)
tensor(397.1608, dtype=torch.float64)
tensor(397.4512, dtype=torch.float64)
tensor(398.3255, dtype=torch.float64)
tensor(389.7316, dtype=torch.float64)
tensor(393.9128, dtype=torch.float64)
tensor(398.1243, dtype=torch.float64)
tensor(391.4851, dtype=torch.float64)
